Adonis blue butterfly, Adonis blue, Polyommatus bellargus
Black hairstreak butterfly, Black hairstreak, Satyrium pruni
Brimstone butterfly, Brimstone, Gonepteryx rhamni
Brown argus butterfly, Brown argus, Aricia agestis
Brown hairstreak butterfly, Brown hairstreak, Thecla betulae
Golden Hairstreak butterfly, Golden Hairstreak, Cabbage White butterfly
Chalkhill blue butterfly, Chalkhill blue, Polyommatus coridon
Chequered skipper butterfly, Chequered skipper, Carterocephalus palaemon
Clouded yellow butterfly, Clouded yellow, Colias croceus
Comma butterfly, Comma, Polygonia c-album
Common blue butterfly, Common blue, Polyommatus icarus
cryptic Wood white butterfly, cryptic Wood white, Leptidea juvernica
Dark green fritillary butterfly, Dark green fritillary, Argynnis aglaja
Dingy skipper butterfly, Dingy skipper, Erynnis tages
Duke of burgundy butterfly, Duke of burgundy, Hamearis lucina
Essex skipper butterfly, Essex skipper, Thymelicus lineola
Hedge Brown butterfly, Hedge Brown, Pyronia tithonus,  Gatekeeper butterfly
Geranium Bronze butterfly, Geranium Bronze, Cacyreus marshalli
Glanville fritillary butterfly, Glanville fritillary, Melitaea cinxia
Grayling butterfly, Grayling, Hipparchia semele
Green hairstreak butterfly, Green hairstreak, Callophrys rubi
Green-veined white butterfly, Green-veined white, Pieris napi
Grizzled skipper butterfly, Grizzled skipper, Pyrgus malvae
Heath fritillary butterfly, Heath fritillary, Melitaea athalia
High brown fritillary butterfly, High brown fritillary, Argynnis adippe
Holly blue butterfly, Holly blue, Celastrina argiolus
Large Blue butterfly, Large Blue, Maculinea arion
Large heath butterfly, Large heath, Coenonympha tullia
Large skipper butterfly, Large skipper, Ochlodes sylvanus
Large white butterfly, Large white, Pieris brassicae
Lulworth skipper butterfly, Lulworth skipper, Thymelicus acteon
Marbled white butterfly, Marbled white, Melanargia galathea
Marsh fritillary butterfly, Marsh fritillary, Euphydryas aurinia, Greasy Fritillary
Meadow brown butterfly, Meadow brown, Maniola jurtina
Mountain ringlet butterfly, Mountain ringlet, Erebia epiphron
Northern brown argus butterfly, Northern brown argus, Aricia artaxerxes
Orange-tip butterfly, Orange-tip, Anthocharis cardamines
Painted lady butterfly, Painted lady, Vanessa cardui
Peacock butterfly, Peacock, Aglais io
Pearl-bordered fritillary butterfly, Pearl-bordered fritillary, Boloria euphrosyne
Purple emperor butterfly, Purple emperor, Apatura iris
Purple hairstreak butterfly, Purple hairstreak, Favonius quercus
Real's Wood White butterfly, Real's Wood White, Réal's Wood White

